-3.0,-1.0,0.68894,2.90643,0.62715,-0.01398,-0.01398,0.39325,0.63636,11
-3.0,-1.0,0.06731,0.09525,0.01359,0.01924,0.01924,0.02722,0.36364,11
-2.0,-4.0,0.22427,2.58,0.0122,-0.04062,-0.04062,0.24959,1.0,13
-2.0,-2.0,0.51939,3.2448,0.20504,0.0033,0.0033,0.87299,0.71838,42
-2.0,-2.0,0.27027,0.15437,0.06806,0.01306,0.01306,0.04932,0.28162,42
-2.0,-1.0,0.41282,3.03953,0.06792,0.05543,0.05543,0.76775,0.72166,51
-2.0,-1.0,0.25234,0.11806,0.07588,0.0214,0.0214,0.03168,0.27834,51
-2.0,0.0,0.2083,2.08638,0.01942,-0.06859,-0.06859,0.47363,1.0,13
-1.0,-31.0,0.34886,3.45554,0.05807,-0.01716,-0.01716,0.13592,0.5238,21
-1.0,-31.0,0.04943,0.23563,0.00156,0.00176,0.00176,0.296,0.4762,21
-1.0,-30.0,0.59547,3.24609,0.21024,0.02809,0.02809,0.4936,0.59782,82
-1.0,-30.0,0.09317,0.40307,0.00532,-0.00011,-0.00011,2.33874,0.40218,82
-1.0,-29.0,0.5787,3.4345,0.01386,0.00877,0.00877,0.00555,1.0,13
-1.0,-5.0,0.30077,1.98833,0.01287,-0.0491,-0.0491,0.20017,1.0,12
-1.0,-4.0,0.17919,1.1893,0.03996,0.13656,0.13656,2.13003,1.0,44
-1.0,-3.0,0.21871,1.30747,0.07031,0.29371,0.29371,4.11439,1.0,117
-1.0,-2.0,0.22702,3.12667,0.12322,-0.01229,-0.01229,0.00124,0.0709,200
-1.0,-2.0,0.29575,1.74754,0.08834,0.47085,0.47085,5.4454,0.9291,200
-1.0,-1.0,0.31633,1.18318,0.0774,0.08033,0.08033,2.06183,0.70835,117
-1.0,-1.0,0.56719,3.75303,0.10704,-0.09851,-0.09851,0.3942,0.29165,117
-1.0,0.0,0.01534,5.78436,0.00072,-0.02343,-0.02343,0.76773,0.26406,142
-1.0,0.0,0.28027,2.23578,0.04369,0.08786,0.08786,3.19165,0.73594,142
-1.0,1.0,0.17034,1.1102,0.03203,0.15507,0.15507,3.38972,1.0,81
0.0,-31.0,0.24421,6.17977,0.0596,-0.03153,-0.03153,0.47913,0.51029,276
0.0,-31.0,0.61675,3.30051,0.26236,0.07791,0.07791,0.31693,0.48971,276
0.0,-30.0,0.27479,0.1115,0.05949,0.0021,0.0021,1.00326,0.56516,502
0.0,-30.0,0.55516,3.36719,0.17498,0.02739,0.02739,0.31442,0.43086,502
